date,season,team1,team2,elo1,elo2,elo_prob1,score1,score2
1991-10-06,1991,clt,pit,1382.821,1518.882,0.3991375373446747,3,21
1991-10-06,1991,cle,nyj,1404.187,1443.677,0.5366460113964511,14,17
1991-10-06,1991,cin,sea,1441.588,1515.19,0.4876232557125017,7,13
1991-10-06,1991,chi,was,1550.311,1660.732,0.4350037864836228,7,20
1991-10-06,1991,rai,sdg,1565.492,1416.299,0.7743421685115892,13,21
1991-10-07,1991,kan,buf,1555.198,1688.195,0.4033749828005289,33,6
1991-10-13,1991,sea,rai,1534.094,1527.793,0.6011937493574397,20,23
1991-10-13,1991,phi,nor,1552.417,1620.074,0.4961763441701131,6,13
1991-10-13,1991,nyj,oti,1458.731,1606.107,0.3836239731991857,20,23
1991-10-13,1991,min,crd,1464.373,1454.215,0.6065049081103316,34,7
1991-10-13,1991,kan,mia,1596.227,1532.901,0.676712355992642,42,7
1991-10-13,1991,dal,cin,1491.814,1422.684,0.6839780917268002,35,23
1991-10-13,1991,ram,sdg,1463.165,1453.997,0.605144005537946,30,24
1991-10-13,1991,buf,clt,1647.165,1360.051,0.8835958017952423,42,6
1991-10-13,1991,was,cle,1683.228,1389.133,0.8876658020847352,42,17
1991-10-13,1991,sfo,atl,1624.508,1429.318,0.8172422471950277,34,39
1991-10-14,1991,pit,nyg,1541.651,1588.462,0.5261521873427087,20,23
1991-10-17,1991,gnb,chi,1387.154,1527.815,0.3928042747419179,0,10
1991-10-20,1991,pit,sea,1526.942,1516.867,0.6063908753804391,7,27
1991-10-20,1991,crd,atl,1428.858,1462.533,0.5449585430746613,16,10
1991-10-20,1991,clt,nyj,1352.805,1448.478,0.4559723300721258,6,17
1991-10-20,1991,den,kan,1530.205,1618.12,0.4670703984078556,19,16
1991-10-20,1991,rai,ram,1545.02,1478.031,0.6813080865820009,20,17
1991-10-20,1991,nwe,min,1322.1,1489.731,0.3564532619427073,26,23
1991-10-20,1991,nor,tam,1640.685,1385.697,0.8631849537711581,23,7
1991-10-20,1991,sdg,cle,1439.131,1382.841,0.6677888710316723,24,30
1991-10-20,1991,mia,oti,1511.008,1616.359,0.4421899311628999,13,17
1991-10-20,1991,sfo,det,1591.294,1543.928,0.6562959112501185,35,3
1991-10-21,1991,buf,cin,1654.412,1407.404,0.8576689403125911,35,16
1991-10-27,1991,atl,ram,1445.072,1469.695,0.5578469853342118,31,14
1991-10-27,1991,sea,sdg,1555.095,1411.626,0.7685326159880626,20,9
1991-10-27,1991,nwe,den,1340.816,1545.136,0.3095999166733648,6,9
1991-10-27,1991,tam,gnb,1378.929,1368.943,0.6062685864399037,0,27
1991-10-27,1991,det,dal,1521.06,1507.094,0.6117240148881876,34,10
1991-10-27,1991,nyg,was,1603.172,1689.521,0.4693149295701143,13,17
